protein1,protein2,label
Q03579,Q8TGP9,0
P25454,P48412,0
P38799,Q07921,0
P38151,P43123,0
P41546,P53849,0
P33755,Q03799,0
P38331,P40892,0
P33749,Q08110,0
P46678,P47076,1
O13563,P36058,0
P33331,Q06150,0
P32626,Q12309,0
P25617,P42846,0
Q08179,Q99312,0
Q03973,Q06148,0
Q03482,Q08958,0
P04807,Q12518,0
P35178,Q03430,0
P43132,P61830,1
Q03831,Q12217,0
P0C5L4,P40991,0
P53134,Q03435,0
P38169,Q04100,0
P22136,Q12230,0
P23337,P47031,0
P41817,P61829,0
P38886,Q12040,0
P53079,Q06217,0
P42951,Q12254,0
P43605,Q05905,0
P00899,P22336,0
P41819,Q08492,1
P53877,Q03103,0
P38361,P42834,0
P07250,P39540,0
P38428,Q06689,0
P32263,P47042,0
P08425,P26343,0
P20107,Q03051,0
P25631,Q02457,0
A0A023PXD9,P39973,0
P06168,P23180,0
P36105,P39516,1
P21374,P38867,0
P43550,Q12672,0
P06844,Q12089,0
P32604,P38330,0
P34225,Q04411,0
Q03151,Q04521,0
P36042,P53105,0
P17122,P36024,0
P05750,P0CH09,1
P05739,Q99339,0
P53923,Q02933,0
P38848,Q03776,0
P26783,Q12315,0
P38153,Q92317,0
O13514,P34227,0
P53302,Q06336,0
P05748,P0CX47,1
P13090,Q08818,0
P14120,P53312,0
P0C5R9,P53099,0
P87268,Q04930,0
Q06217,Q99181,1
P0C5L2,P53132,0
P53388,Q03187,0
P32445,P39742,0
A0A023PXJ7,P10869,0
P53740,Q12335,0
P0CX53,Q06287,0
P32769,P47180,0
P23796,P25382,0
P54838,Q12508,0
A0A023PZE4,Q03207,0
Q07990,Q3E792,0
P31116,Q03899,0
P05743,Q02892,1
A0A023PXI8,Q12163,0
P34225,P43542,0
P36109,Q06494,0
P20436,P33308,1
O14464,P06782,0
P10664,P80235,0
P32802,P53169,0
Q7M4S9,Q8TGL6,0
P22470,Q99210,0
P0C155,P32910,0
D6VTK4,P25293,0
P40070,Q06217,1
P53011,Q04491,1
Q08630,Q12528,0
O13575,Q08559,0
P42936,P47074,0
Q07880,Q12412,0
A0A023PZL2,P53333,0
P0CX30,P49166,1
P50113,Q08045,0
P40032,P47017,0
P38345,Q06508,0
P40366,Q03780,0
P10622,P32912,0
P25619,P30952,0
P38233,Q05998,0
P20457,Q03201,0
P0CX53,P24000,1
O42831,P53205,0
P43605,P53287,0
P0CX78,P53172,0
P36081,Q12421,0
A0A023PZA9,P46946,0
P38840,P53741,0
Q12035,Q12277,1
P47818,P53152,0
P22007,Q12130,0
P19211,P53961,0
P53946,Q01163,0
D6VPM8,P07236,0
P0CX16,Q03220,0
P0CY06,Q06224,0
P14736,P40206,0
Q04276,Q12181,0
P35997,P40217,1
P38161,P39518,0
P13090,Q07535,0
P0C2H6,Q12522,1
A0A023PXQ4,Q3E7X9,0
P53199,Q12452,1
Q03786,Q12187,0
P40545,Q08967,0
P0CE91,Q04897,0
P23369,P38291,0
P40454,Q07938,0
P32529,Q12243,0
P40956,Q12485,0
P20438,P38063,0
P35497,Q06252,0
P46971,P53884,0
P38689,Q02354,0
P53290,P53820,0
O13588,P25349,0
P22139,Q04712,1
P0CX82,P34231,0
P32316,P36143,0
P23724,Q07880,0
P0CH09,P24000,1
P0C0W9,P0CX42,1
P09457,P23337,0
P25349,Q07951,0
P36018,P38701,0
O13534,P18851,0
P38794,P47066,0
P25584,P32598,0
P38624,P43588,1
P40005,Q07560,0
P20437,P53852,0
Q04377,Q3E791,0
P0C5M6,P23202,0
P47058,P53304,0
P04807,Q03919,0
A0A023PZE9,O13523,0
A0A023PZF9,P28789,0
P22007,P53843,0
P25343,P40165,0
A0A023PXL7,P40058,0
P32353,P53832,0
P16151,P28778,0
P25342,P53132,0
P25587,Q04410,0
P06838,P36046,0
P49166,Q3E754,1
P38883,Q12420,0
P53342,Q08492,0
P47083,Q12522,0
P38211,Q04005,0
P05759,P21242,1
P32366,Q3E776,0
P0CH09,Q3E746,0
P32857,P38205,0
P53311,Q04658,0
P38222,P39945,0
A0A023PZH5,P06780,0
P38224,P40071,0
Q03687,Q8TGJ8,0
P43551,Q12339,0
P39010,Q06350,0
P38887,P39728,0
A0A023PZJ3,P47167,0
P06784,P15380,0
P14741,P53062,0
P07281,P53551,0
P38925,Q08902,0
Q01590,Q04004,0
P0CX56,P38792,1
P10127,P25591,0
P53857,Q12104,0
P53108,Q12111,0
P0CX73,Q12059,0
P04911,Q02202,0
P39994,P40971,0
P38251,P38892,0
P00431,Q03330,0
P0C0W9,P53295,1
P32897,P36520,0
P32179,P42833,0
P0CX80,P50263,0
P41808,Q12408,0
P40070,Q12355,0
P08456,Q06505,0
P39709,P53825,0
P25603,P32178,0
P53064,Q12310,0
Q06236,Q6B0X1,0
P0CX46,P0CX49,1
P35178,P38789,1
P53842,Q06350,0
P21827,P38255,0
P35127,P40521,0
P36154,P36521,0
P0C5E0,P38745,0
P31787,Q03390,0
P00927,Q99248,0
P04819,P40326,0
P13663,P22289,0
P53968,Q92392,0
P0C5R1,P39925,0
P22803,P28737,0
P32859,Q04215,0
P07258,P0CF17,0
Q05518,Q3E769,0
P36050,P53866,0
O13560,P47016,0
P38994,P40564,0
P00958,Q6B0Y6,0
P14126,P33309,1
P53305,Q9ZZX7,0
Q08990,Q8TGQ2,0
P0CX40,P0CX46,1
P53075,Q12261,0
P53881,Q03246,1
O13546,Q08604,0
P36015,Q01855,0
P38087,P53974,0
P38157,P39000,0
P53342,Q04174,0
P39079,P40045,0
P38721,P47173,0
P25353,P38228,0
P06838,Q02724,0
P53769,Q03375,1
P27515,P40077,0
O13574,Q03213,0
P40018,Q02775,1
P21560,P38323,0
P53969,Q03774,0
P36032,Q07649,0
O13541,Q03390,0
O13555,P40693,0
P21826,P40570,0
P07281,P14126,1
A0A023PXK7,P22353,0
O13516,P36134,0
A0A023PZL2,O13515,0
P00360,P40506,0
P23369,Q05029,0
P25621,P36517,0
P25382,P40487,0
P07267,P40531,0
P47039,Q12428,0
P0CX58,P47014,0
P19145,P32452,0
P53861,Q12133,0
P32643,P37262,0
Q03193,Q12380,0
Q08986,Q12530,0
P40210,Q04373,0
P38888,P40960,0
P32796,P39111,0
P07170,P40162,0
P47059,Q02204,0
P38925,Q3E811,0
Q06344,Q12345,0
P36141,P39710,0
P38299,P49775,0
P23493,P38765,0
P47080,P53144,0
P32900,P43635,0
P04039,P38361,0
P38223,Q12266,0
O13518,P38199,0
P33734,P43124,0
P04387,P43547,0
Q03373,Q04922,0
P38783,Q08981,0
P0CX48,P38071,0
P36521,Q03201,1
P36142,P38353,0
P40219,P48362,0
P39012,P40151,0
P25654,Q07505,0
P43621,Q06170,0
A0A023PYD0,Q05919,0
P02407,P41819,1
P06782,Q05451,0
P00560,P40023,0
P38075,P48232,0
P02406,P05750,1
P06781,Q12463,0
P49334,Q04179,0
P38891,P47011,0
P41543,Q03723,1
P38109,P38842,0
P38246,P38767,0
P10663,P12687,1
P23500,P48232,0
P32331,Q8TGS8,0
P33336,Q12013,0
P38439,P40534,0
Q3E794,Q99287,0
P38637,Q3E7Z1,0
P53213,Q08905,0
P38280,P40215,0
P38212,P53973,0
Q03818,Q3E7B5,0
P38225,Q08685,0
P87270,Q03941,0
P53960,Q99210,0
P41903,Q06338,0
P22470,P53930,0
P00330,P40079,0
P0CE97,Q12291,0
Q02821,Q06340,0
P46992,Q05648,0
P0CE89,P52920,0
P00331,P47099,0
P09457,P38087,0
P38301,Q06543,0
P18562,Q12154,0
Q05949,Q6Q547,0
P38289,P53082,0
P0CX34,P47105,0
P47032,Q03212,0
P31378,Q06629,0
P38318,Q05359,0
P32354,P40360,0
Q04549,Q12023,0
P15703,Q2V2P4,0
P38241,P53769,1
P47115,Q03771,0
P35196,P39543,0
P46984,P53849,0
P38314,P87281,0
P05756,Q3E772,1
P29340,P35195,0
P38768,Q02939,0
P40326,Q03067,0
P23179,P38767,0
P07264,P40530,0
P38229,P38845,0
P02309,P53437,1
P42938,Q12449,0
P28239,P38876,0
Q04413,Q06815,0
Q02961,Q3E7Z1,0
P22470,P53182,0
P0CX51,P10869,0
P22148,P35996,0
Q06511,Q9P305,0
P53102,Q12155,0
P36163,Q12149,0
P38731,Q06143,0
P40082,Q3E7A9,0
P32900,P36138,0
P40549,P53171,0
P36076,Q07509,0
P46948,Q12497,0
P04173,P52290,0
P25359,P52870,0
P39742,Q03723,0
P39002,P40886,0
P87191,Q8TGS8,0
P38823,P41697,0
P38207,P53088,0
O13543,P0C5M4,0
P38431,Q06506,0
P36148,P38842,0
P32912,Q03330,0
P28817,Q03430,1
P25632,Q6Q5F3,0
P13663,P14306,0
P39006,Q06707,0
P32352,P53045,1
P07213,Q08558,0
P43321,Q03772,1
A0A023PXH6,P39552,0
P38877,Q05937,0
P06783,P0CX09,0
Q12042,Q12339,0
P29461,Q12301,0
P0C5R3,P36038,0
P15315,P26786,0
P22353,Q02608,1
P32335,P32472,0
P40353,Q01855,0
P32325,P36528,0
P29704,P47099,0
P32831,P46946,0
P25303,P36103,0
P08417,Q02804,0
O13530,P9WEJ5,0
P36528,Q3E834,0
P38907,Q03559,0
P0CF17,P38199,0
P05150,P40575,0
P10664,P87262,1
P39107,P53164,0
P32909,P53081,0
P33759,P52488,0
P36102,Q03778,0
P32501,Q99296,0
P36092,P47055,0
Q04231,Q12161,0
P40354,P40463,0
P36057,P46946,0
P40033,Q03246,1
P53227,Q8TGL4,0
P38068,Q3E805,0
P40963,P53870,0
P38693,Q02888,0
A0A023PXI4,P38796,0
E9PAE3,Q08486,0
P30775,Q12264,0
P39982,P40479,0
P46955,Q12185,0
P40526,Q12342,0
P23639,Q07657,0
P0CL42,P38074,0
P38252,Q07865,0
P17261,P53122,0
P39540,Q8TGT0,0
Q07349,Q12272,0
P0CL35,P53259,0
P25343,P32839,0
P06782,Q12092,0
P19211,P53032,0
P39931,P40014,0
P06103,Q02486,0
P32323,P40081,0
P00420,Q06549,0
P53265,Q02199,0
P32377,P39990,0
P38234,Q12476,0
A0A023PZ94,P38704,0
P40303,P53911,0
P17157,P43552,0
P36047,P53156,0
P10127,P40202,0
P0CD91,P18239,0
P05738,Q07978,0
P0CX34,Q02793,1
P38355,Q04934,0
P15646,P38358,0
P38765,Q06675,0
P0CX65,Q92325,0
P33748,Q06665,0
P32839,P34221,0
P53943,Q6B0Y8,0
P40339,P47083,0
Q03818,Q04689,0
P32493,Q04712,0
P39721,P40036,0
O60200,P25626,0
P41058,Q08745,1
P05737,P0CX47,1
P34162,P35189,1
P53181,Q06148,0
P32481,Q02961,0
P52868,Q3E760,0
P0CX43,P35997,1
P40466,Q04338,0
P10507,P36106,0
P14743,P35198,0
P43547,P53255,0
P26321,P39938,1
P29703,Q8TGQ2,0
P07278,Q08238,0
P0CX08,Q05789,0
P23642,P53299,0
P48569,Q6Q571,0
P53824,Q07799,0
P47066,P47188,0
P40566,Q12310,0
P43569,Q02256,0
P00899,P43588,0
P53085,Q99369,0
P06633,Q05518,0
P12686,P35996,1
P32800,P34087,0
P39718,Q03482,0
P25596,P32838,0
Q02100,Q05648,0
P35997,P36081,0
P00044,P17423,0
P32448,Q8TGT9,0
Q12426,Q99299,0
P46784,P53224,0
P53969,Q02733,0
P53906,Q12462,0
P35733,Q02256,0
P33748,Q8TGL8,0
P00830,P24720,0
P25630,Q12412,0
P33442,Q12035,1
P0CX47,Q04305,1
P40008,P40465,0
P33322,P46669,1
P38885,Q8TGS1,0
P21190,P53134,0
P26786,P40470,1
Q06011,Q06216,0
P50263,Q12507,0
O13520,Q02799,0
P40504,P53633,0
P38797,P48565,0
P02994,Q07729,0
P32835,Q08915,0
P25376,Q3E766,0
Q05926,Q08647,0
P15807,P25451,0
P06633,P53982,0
P53159,Q6B0Y1,0
P50087,Q04951,0
P47178,Q3E743,0
P01123,P38334,1
P40549,Q3E830,0
P43619,Q02256,0
P32831,P46985,0
P01120,P0C5L2,0
P01149,P38729,0
P31787,P47062,0
P26755,P53972,0
P53943,Q03337,0
P38165,Q03375,0
A0A023PXD5,P53960,0
P0CX32,P53941,1
P05739,Q06451,0
P47133,Q8TGK8,0
O13579,Q03233,0
P23900,P40362,0
O13547,P36153,0
P38775,P53919,0
P40441,P53913,0
P07250,P40458,0
Q12348,Q8TGM5,0
P46959,Q06644,0
P28003,Q06537,0
P32645,Q06604,0
P38344,P49167,1
Q02753,Q04516,0
P40896,Q04632,0
O75012,P53733,1
P25607,Q04895,0
P40038,Q99382,0
P38223,P53306,0
P36516,P36526,1
Q07978,Q12524,0
P10622,P47094,0
I2HB70,P25652,0
A0A023PZD0,P36527,0
P08525,P0CX57,0
P38085,P40533,0
Q08412,Q08954,0
P43624,Q07530,0
P22108,P53193,0
Q3E805,Q6Q5H1,0
Q03764,Q08921,0
P0CX11,P27796,0
P53729,Q07746,0
A0A023PZJ3,P43579,0
P38712,P53839,0
Q12127,Q12159,0
P20437,P25593,0
P0C5Q7,P39532,0
P25613,P32481,0
P25337,Q99312,0
P47005,Q3E7A2,0
P53933,Q04276,0
P32524,Q12417,1
P01098,P22336,0
P32806,P38759,1
P36096,P47976,0
P36005,Q12104,0
P25299,Q04689,0
A0A023PXG7,P41546,0
P0C0V8,P14120,1
Q02159,Q12242,0
P32805,P47110,0
P36040,Q08214,0
A0A023PYG5,P53862,0
P04650,P32490,0
P16523,Q08746,0
P07253,P47006,0
P23301,P53883,0
P00175,Q08922,0
P06182,P21243,0
P38748,Q04909,0
P38953,P53290,0
P38701,Q12467,0
P33401,P46988,0
P0C5E0,P34226,0
P32784,P34221,0
P36520,Q12286,0
P0CX32,P40449,1
P33550,P36096,0
P38262,P53630,0
Q03370,Q3E804,0
A0A023PZ99,P40510,0
P46997,Q12030,0
P33399,P53259,0
P16892,P38590,1
P40166,Q03723,0
P46673,Q08172,0
P36009,Q08110,0
P23585,P42938,0
P0CF17,Q6Q546,0
P20486,Q03433,0
O13571,P25625,0
P38804,Q8TGM9,0
P32912,P36015,1
P40106,Q02606,0
P32837,P47090,0
P39676,Q12225,0
Q06541,Q08732,0
P05748,P0CX52,1
P32626,P38747,0
P04803,Q12411,0
P02407,Q02326,1
Q05123,Q06168,1
P36046,P40520,0
P25567,Q08904,0
P22203,Q12392,0
P52924,Q06218,0
P22133,P38771,0
P18409,Q12262,0
P33329,P40510,0
Q12493,Q99234,0
P38625,P57744,0
Q03212,Q05902,0
P40486,Q04638,0
P38196,Q06892,0
P36040,P53844,0
P36527,P51998,1
P32368,P32945,0
P32350,P41057,0
P0CF35,Q04673,0
P40548,P47038,0
P40588,Q06263,0
P03874,P53097,0
P38152,P39972,0
P05738,P0CX28,1
P17123,Q08300,0
P38857,Q12204,0
P35209,Q03785,0
P40858,Q03648,0
P38324,Q05580,0
P87275,Q00711,0
Q07896,Q12690,1
Q08193,Q12333,0
P05739,P53295,1
P38068,P53197,0
P0CX48,P34249,0
P53213,P53915,0
P53944,Q03772,0
P0CX73,Q04408,0
P21827,P39997,0
P38892,Q06139,0
P53870,P69771,0
P25559,Q8TGN6,0
P36066,Q04516,0
P39525,Q08817,0
P0CX49,P38223,0
Q03649,Q06251,0
P29055,P43552,0
P38790,P54839,0
P38960,Q12412,0
P29496,Q12480,0
P0CX70,P38261,0
P0CX89,Q01662,0
P43589,Q05809,0
P23644,Q01560,0
P47124,Q06686,0
P19145,P43541,0
P47049,Q06070,0
P50113,P54862,0
P06115,P32773,0
O13329,Q05942,0
P47101,Q04897,0
P48567,P81451,0
P28625,Q02831,0
P53932,P54780,0
Q00764,Q04216,0
Q02908,Q07541,0
P53131,Q03525,0
P39953,P48813,0
P40502,Q05863,0
P15496,Q12489,0
P48236,Q99316,0
Q04005,Q12504,0
P87285,Q12266,0
P25294,Q06169,0
P47028,Q04410,0
P0CH08,P32905,1
P61830,Q04636,1
P38696,P38705,0
P27810,P38319,0
Q08322,Q3E825,0
P08432,P40098,0
P49167,P53769,0
P38236,Q06107,0
P0CL39,P38128,0
P53821,Q04658,0
P37012,Q04174,0
P36004,Q12257,0
P05453,P16547,0
Q04301,Q12433,0
P51534,P53183,0
Q12255,Q12528,0
P40857,P53746,0
P38242,P38248,0
P15732,Q08650,0
P24783,P53174,0
P23639,P53549,1
P0CX37,P34162,0
A0A023PXP4,P23900,0
P47152,Q3E826,0
P25370,P40072,0
P53213,P53307,0
P53916,Q08912,0
P53933,Q03262,0
P00729,P53389,0
P23369,Q03976,1
P47110,P53039,0
P0CF20,Q05902,0
P87191,Q04602,0
Q12216,Q12431,0
P41819,Q06892,0
P37293,Q05506,0
P26786,P39990,1
P34162,Q08018,0
P52910,P53316,0
P53150,Q08754,0
P52871,Q12365,0
Q08685,Q08952,0
P20606,Q99345,0
P38121,P52893,0
P08019,Q05568,0
P46994,P50083,0
P26786,P46654,1
P22438,Q12122,0
P42946,Q03208,0
P46944,Q05533,0
A0A023PYD3,Q04431,0
P38351,Q08172,0
P01123,P38313,0
P05319,P40968,0
A0A023PZE2,P53728,0
P36092,Q02710,0
P53332,Q04526,0
P39968,P47055,0
P40024,Q08956,0
P40362,Q3E7X9,1
P06197,P40343,0
P32775,P40917,0
P32469,Q06604,0
P0CH64,Q03825,0
P00420,P53206,0
P40209,P46944,0
A0A023PXJ7,Q12469,0
P38930,P50109,0
A0A023PYJ4,P39715,0
P0C5L1,P36224,0
Q08989,Q12154,0
A0A023PYD0,P25619,0
P38752,P40579,0
P36065,P38075,0
P40185,P40464,0
P53063,Q03771,0
P39989,P47015,0
P53941,Q12499,1
P04449,Q8TGJ3,0
P41734,Q04638,0
Q12274,Q12408,0
P06243,Q02772,0
P43611,P47004,0
O13533,Q04705,0
P53237,P53873,0
P25087,Q07928,0
P33299,P38624,1
P38232,P40045,0
Q05779,Q08416,0
P06243,P21190,0
P40481,P47062,0
P52919,Q2V2P3,0
P40464,P53631,0
P0CX97,P50861,0
P40081,P47182,0
P38880,P47151,0
P40465,P53073,0
Q08949,Q9ZZW4,0
A0A023PXF5,P26755,0
P37303,P47818,0
P43588,Q03330,0
P05738,Q03862,1
P36015,Q07811,0
P38069,P43593,0
P05743,Q03446,0
P33759,P38758,0
O94086,P38079,0
P00546,P40584,0
P39002,Q04502,0
P07253,P38967,0
P53754,Q12382,0
Q07928,Q12090,0
E9PAE3,P32178,0
P40519,Q06667,0
P53170,Q04341,0
P40542,P46672,0
P28791,P32859,0
Q12385,Q12485,0
P20436,P27476,0
P03882,Q06667,0
P40568,P41833,0
P25617,P43569,0
P85052,Q06147,0
Q04116,Q06834,0
P32902,P38345,0
Q03503,Q03705,0
P25596,Q8TGU6,0
P34227,Q06821,0
P40209,P43576,0
P38121,Q04322,0
P39708,Q04398,0
P89113,Q12301,0
P38844,Q08504,0
Q04598,Q08953,0
P0CX55,Q02486,0
P40328,Q03940,0
P24867,Q3E818,0
Q05931,Q12441,0
P30657,P40327,1
P25362,P53897,0
A0A023PXH9,P03882,0
P39002,P43545,0
Q03503,Q12270,0
P21243,P38201,0
P15624,P38326,0
P23585,P40475,0
P0CF35,P0CX34,0
P36041,P54839,0
P32582,Q12287,0
P07281,P53263,0
P35190,Q6WNK7,0
P53134,Q12746,0
P08425,P32461,0
P11632,P36041,0
Q03557,Q08743,0
P40551,P43563,0
P0C0W9,P33201,1
P40353,Q06512,0
P0CX46,P36136,0
P0CX55,Q12277,1
P06780,Q03375,0
Q08686,Q08990,0
P53303,Q04894,0
P47023,Q3E7Y5,0
P39958,P53250,0
P41698,Q12083,0
D6W196,P53096,0
P25600,P53035,0
P07281,P28320,0
P32617,Q03824,0
Q12217,Q12455,0
P40580,Q04272,0
P38889,Q00055,0
P38191,P38927,0
P32459,Q06493,0
P32343,P53123,0
P0CX49,Q07949,0
P38180,P53829,0
O14464,P0CX74,0
P38130,Q3E762,0
Q03327,Q06508,0
P38745,Q06150,0
P47115,Q02950,0
P39110,Q06523,0
P0CE69,Q06411,0
P36527,P43636,0
P40101,Q3E735,0
P87266,Q07788,0
Q02647,Q12179,0
A0A023PYG1,P0CX88,0
P0C2H7,P40461,0
P32831,P53852,0
P53045,P53438,0
P14164,Q12530,0
O94084,P22289,0
P32477,P47821,0
A0A023PXN3,P53313,0
P0C5P7,Q06677,0
P07263,P47052,0
P37299,Q07865,0
P37838,P51402,0
P48164,Q04603,0
P25575,Q12079,0
P46950,Q04299,0
P38780,P39532,0
O14468,Q99321,0
P39932,P52917,0
P36065,Q02771,0
P43587,P53900,0
P25374,P38171,0
Q12377,Q12745,0
P36099,P53721,0
P38337,Q07990,0
P40447,P53975,0
A0A023PZE4,P21375,0
O94085,Q06151,0
P53151,Q92317,0
P23639,Q03430,0
P0CX16,P47075,0
P10355,P27637,0
P0CL40,Q06686,0
P07703,P13365,0
P22134,P38754,0
P0CX24,P51401,1
P61830,Q06168,1
Q03337,Q03786,0
P34164,P47180,0
Q99341,Q9ZZX8,0
P17261,Q01919,0
P35172,P40058,0
P0CH09,P41805,1
P32353,Q06671,0
P53160,Q12477,0
P20435,Q02793,0
Q02884,Q08207,0
P22136,Q08282,0
P40343,P47821,0
O13557,P40059,0
Q07979,Q12311,0
Q04398,Q08925,0
P40892,Q08503,0
Q12178,Q12339,0
P36081,P39709,0
P25376,P35201,0
P10356,P12612,0
P20434,P47006,1
P06783,Q04728,0
P0CX84,P38011,1
A0A023PZE2,P53224,0
P40325,Q07824,0
P25693,P53288,0
P24521,P38258,0
P38286,P48439,0
P40484,Q05468,0
P07267,P40356,0
P11745,P38837,0
P32462,Q04082,0
P32616,P36083,0
P53313,Q12346,0
P0C0X0,P39939,1
P26343,P53902,0
P38189,Q03796,0
P01123,P07560,1
P18898,P38280,0
P49018,P54838,0
P39000,Q03446,0
P40577,P53311,0
A0A023PZF2,Q06563,0
P53828,Q12202,0
P18496,P38256,0
P38162,P53932,0
P22215,Q03824,0
P13902,P38903,0
P19516,Q12335,0
P53050,Q04792,0
P38695,P39983,0
P33122,P43122,0
P0CX43,Q07629,0
P32621,Q06629,0
P0CI67,P13856,0
P27637,P47152,0
P0C5M9,P53099,0
P39102,P53252,0
Q06201,Q07804,0
P36113,Q03771,0
P38248,Q03935,0
P40029,P40447,0
P05740,P38701,1
P38696,Q06672,0
P0CL39,Q06147,0
P18634,Q07738,0
P38127,Q01649,0
P31385,P40082,0
P35843,Q08238,0
P10862,P46988,0
P38828,P53907,0
P33893,P41835,0
P53861,Q06707,0
Q03175,Q99287,0
A0A023PZA4,P32913,0
P40567,Q12372,0
P87266,Q03207,0
O13563,P53057,0
P34240,Q08492,0
P53583,Q99220,0
A0A8D9UGU6,P53321,0
O13515,P0CT86,0
P40496,P53921,1
P32607,Q12485,0
P0CX98,Q03795,0
P38128,P47148,0
P07213,Q12077,0
P39566,Q05670,0
P43576,Q6B0X1,0
P46669,Q01080,1
O13512,P36076,0
P53107,Q08496,0
P36531,Q12420,0
P35179,P41697,0
P0CY08,P46367,0
E9PAE4,P80428,0
P53195,Q6Q571,0
P46991,P53549,0
P0CX49,P14681,0
P36167,Q07688,0
A0A023PZG9,P37302,0
P40167,P53262,0
P52492,Q06011,0
P05318,P49166,1
Q06349,Q8TGS8,0
Q06537,Q08920,0
P14120,P61830,0
P27472,P36095,0
P38151,Q04110,0
P37293,P53341,0
P42939,Q12499,0
P28320,Q12417,1
P32630,P54783,0
P38300,Q04299,0
P53957,Q03406,0
P39724,Q08601,0
P40151,Q04089,0
P25441,P38206,0
P05750,P38858,0
O13548,Q3E740,0
P38061,Q12153,0
A0A023PXC2,P41733,0
P28707,P37291,0
P38298,P43621,0
A0A023PXF5,Q03180,0
P38806,P53934,0
P27999,P32585,1
P18888,P40554,0
P21691,P32897,0
P33331,P46990,0
P53266,Q9ZZW2,0
P25610,Q02803,0
P15380,Q08621,0
P06103,P53616,0
P29029,P53112,0
P0C0W1,P0CX54,1
Q08491,Q12746,0
Q06489,Q08045,0
P47020,Q12470,0
P38210,Q06168,1
P35996,P38284,0
P36039,Q3E757,0
P38176,P47079,0
Q08238,Q12289,0
A0A023PZG5,P32493,0
P35201,Q12748,1
P53080,Q12129,0
P53721,Q04003,0
P36036,P38349,0
P40314,Q05809,0
E9PAD6,P16547,0
P05150,Q08754,0
P22209,P38131,0
P47052,P53157,0
P31412,P32191,0
P04912,Q05947,0
P41912,Q04740,0
P20447,Q3E821,0
P07703,Q04585,0
P0CX52,P46654,1
P36173,P87263,0
P53875,Q03483,0
P39929,P53851,0
P53909,Q12407,0
P53065,Q08974,0
P15891,P38956,0
P01123,P40489,0
P47188,Q8TGQ1,0
P38324,P47976,0
P38341,P47005,0
Q08789,Q12082,0
P35198,P38302,0
Q04922,Q05919,0
P38345,P87262,0
P06169,Q12358,0
P53111,Q02721,0
P33755,P38127,0
Q12232,Q12281,0
P14127,Q05029,0
P38350,P40210,0
P23644,Q12234,0
P24031,P43625,0
P31385,P50263,0
P32328,Q03208,0
P06704,P38346,0
P36008,P41816,0
P32614,Q05881,0
P01097,P36102,0
P43637,P53232,0
P20049,P33299,0
Q07804,Q12488,0
P40479,P53967,0
P25370,P53210,0
Q12000,Q12525,0
P37254,P37303,0
Q3E7Y3,Q99216,1
P36005,P50105,0
Q08422,Q3E7Y5,0
P00729,P47038,0
P32526,Q03675,0
P38756,P40219,0
P38927,Q12051,0
P32505,Q99383,1
A0A023PZE1,P36061,0
P38141,Q06524,0
P36050,Q08474,0
P32629,P36031,0
P37020,P40898,0
P32628,Q04894,0
Q03899,Q12064,0
Q04212,Q12524,0
P05626,P53218,0
P53966,Q12498,0
P00431,Q6Q546,0
P36041,Q08484,0
P39108,P53277,0
P38278,Q08465,0
P43587,Q12179,0
P0CX31,P17076,1
Q12147,Q12153,0
P05066,P0CX96,0
P25659,P38604,0
P40884,P53095,0
Q04341,Q9ZZX9,0
P38234,Q04895,0
P38061,Q03532,1
P0CX40,P38314,0
O13560,P08536,0
P32353,P53732,0
P0CI67,P32471,0
P38750,Q12374,0
O94742,P43593,1
P53276,Q8TGK4,0
P34226,P47988,0
P39516,P41058,1
P32610,Q12182,0
P38126,Q12060,0
P38283,Q03049,0
P15790,P20436,0
P33754,P40530,0
D6VTK4,P38139,0
P33891,Q03760,0
P0CX29,Q08285,1
Q08818,Q12362,0
Q03899,Q3E817,0
P0CX75,P53854,0
P53070,P53948,0
P38992,P39929,0
P40018,Q04031,0
P53869,Q08491,0
A0A023PZH9,Q06608,0
P38221,P38812,0
P38769,Q12375,0
P38143,P87281,0
P0CX76,P52488,0
P53758,Q04083,0
P38304,P53338,0
P0CX51,Q04305,1
P53205,Q99401,0
P12385,P48164,0
P36143,Q12241,0
P32614,Q12432,0
P38173,P53887,0
P34245,P42833,0
P40166,Q02950,0
P25045,P38803,0
P35201,Q02983,0
P53894,Q01560,0
Q12247,Q12524,0
P16892,P38218,0
P38845,P40570,0
P25044,P39703,0
P48568,Q03205,0
P36166,P47086,0
P15303,P39980,0
P0CX55,Q07804,0
Q02659,Q04368,0
P43542,P53188,0
P32781,P53906,0
Q08905,Q12517,0
P38212,P53123,0
E9PAE4,P53315,0
P06844,P32891,0
P11746,Q12202,0
P38042,P40319,0
P36049,Q12522,1
P34225,P38153,0
P36152,P87108,0
P49166,Q02793,1
P38971,Q3E7C1,0
P02381,Q99382,0
P41948,Q08223,0
P38801,Q92331,0
P06783,P43635,0
P38900,P53921,0
P18409,Q04215,0
O94085,P38325,0
P25375,P53333,0
P53389,Q03557,0
Q3E7Y3,Q99181,0
P0CL36,P29952,0
Q03373,Q04172,0
P43558,P53437,0
P25567,P48238,0
P47183,Q3E7Z0,0
P22134,P39541,0
Q02651,Q05043,0
P38960,Q02732,0
P0CX74,P12686,0
P53233,P53875,0
P50947,Q07746,0
Q07825,Q3E795,0
P46948,Q12026,0
P05453,P22148,0
Q03048,Q08496,0
